date,earlyLockDown,lockDownInApril
01-03-2020,4,6
02-03-2020,16,23
03-03-2020,14,20
04-03-2020,22,31
05-03-2020,50,70
06-03-2020,34,48
07-03-2020,82,115
08-03-2020,81,114
09-03-2020,48,68
10-03-2020,137,192
11-03-2020,284,398
12-03-2020,323,452
13-03-2020,426,596
14-03-2020,510,713
15-03-2020,70,98
16-03-2020,995,1392
17-03-2020,1273,1781
18-03-2020,1985,2776
19-03-2020,3748,5240
20-03-2020,3806,5322
21-03-2020,4539,6346
22-03-2020,5676,7936
23-03-2020,7216,10089
24-03-2020,7340,10262
25-03-2020,8543,11943
26-03-2020,12901,18036
27-03-2020,13008,18185
28-03-2020,14158,19793
29-03-2020,13688,19136
30-03-2020,15380,21502
31-03-2020,18610,26017
01-04-2020,18227,25481
02-04-2020,21749,30405
03-04-2020,22845,31937
04-04-2020,23714,33152
05-04-2020,19938,27874
06-04-2020,21203,29642
07-04-2020,22015,30777
08-04-2020,22671,31694
09-04-2020,24861,34756
10-04-2020,23964,33501
11-04-2020,21478,30026
12-04-2020,20424,28553
13-04-2020,18091,25291
14-04-2020,19360,27065
15-04-2020,20813,29096
16-04-2020,22388,31298
17-04-2020,23408,32724
18-04-2020,20273,28341
19-04-2020,18625,26038
20-04-2020,19557,27341
21-04-2020,18313,25602
22-04-2020,20103,28104
23-04-2020,24460,34195
24-04-2020,25959,36291
25-04-2020,23549,32921
26-04-2020,19806,27689
27-04-2020,16069,22465
28-04-2020,17550,24535
29-04-2020,19685,27520
30-04-2020,21194,29629
