date,confirmed,deaths,recovered,country
22-01-2020,1,0,0,US
23-01-2020,1,0,0,US
24-01-2020,2,0,0,US
25-01-2020,2,0,0,US
26-01-2020,5,0,0,US
27-01-2020,5,0,0,US
28-01-2020,5,0,0,US
29-01-2020,5,0,0,US
30-01-2020,5,0,0,US
31-01-2020,7,0,0,US
01-02-2020,8,0,0,US
02-02-2020,8,0,0,US
03-02-2020,11,0,0,US
04-02-2020,11,0,0,US
05-02-2020,11,0,0,US
06-02-2020,11,0,0,US
07-02-2020,11,0,0,US
08-02-2020,11,0,0,US
09-02-2020,11,0,3,US
10-02-2020,11,0,3,US
11-02-2020,12,0,3,US
12-02-2020,12,0,3,US
13-02-2020,13,0,3,US
14-02-2020,13,0,3,US
15-02-2020,13,0,3,US
16-02-2020,13,0,3,US
17-02-2020,13,0,3,US
18-02-2020,13,0,3,US
19-02-2020,13,0,3,US
20-02-2020,13,0,3,US
21-02-2020,15,0,5,US
22-02-2020,15,0,5,US
23-02-2020,15,0,5,US
24-02-2020,15,0,5,US
25-02-2020,15,0,6,US
26-02-2020,15,0,6,US
27-02-2020,16,0,6,US
28-02-2020,16,0,7,US
29-02-2020,24,1,7,US
01-03-2020,30,1,7,US
02-03-2020,53,6,7,US
03-03-2020,73,7,7,US
04-03-2020,104,11,7,US
05-03-2020,174,12,7,US
06-03-2020,222,14,7,US
07-03-2020,337,17,7,US
08-03-2020,451,21,7,US
09-03-2020,519,22,7,US
10-03-2020,711,28,8,US
11-03-2020,1109,33,8,US
12-03-2020,1561,43,12,US
13-03-2020,2157,52,12,US
14-03-2020,2870,58,12,US
15-03-2020,2968,70,12,US
16-03-2020,4360,97,17,US
17-03-2020,6141,131,17,US
18-03-2020,8917,188,105,US
19-03-2020,14157,265,121,US
20-03-2020,19479,362,147,US
21-03-2020,25825,456,176,US
22-03-2020,33761,601,178,US
23-03-2020,43850,784,178,US
24-03-2020,54112,1021,348,US
25-03-2020,66055,1333,361,US
26-03-2020,84091,1746,681,US
27-03-2020,102276,2300,869,US
28-03-2020,122069,2934,1072,US
29-03-2020,141205,3561,2665,US
30-03-2020,162707,4381,5644,US
31-03-2020,188724,5605,7024,US
01-04-2020,214205,6846,8474,US
02-04-2020,244610,8432,9001,US
03-04-2020,276547,9747,9707,US
04-04-2020,309699,11031,14652,US
05-04-2020,337573,12470,17448,US
06-04-2020,367215,14138,19581,US
07-04-2020,397992,16447,21763,US
08-04-2020,429686,18563,23559,US
09-04-2020,464442,20638,25410,US
10-04-2020,497943,22731,28790,US
11-04-2020,527969,24777,31270,US
12-04-2020,556522,26548,32988,US
13-04-2020,581813,28376,43482,US
14-04-2020,608878,30780,47763,US
15-04-2020,637974,33329,52096,US
16-04-2020,669272,35442,54703,US
17-04-2020,701996,38056,58545,US
18-04-2020,730337,40442,64840,US
19-04-2020,756375,41671,70337,US
20-04-2020,783716,43466,72329,US
21-04-2020,809318,45923,75204,US
22-04-2020,837422,48312,77366,US
23-04-2020,871617,50749,80203,US
24-04-2020,907908,52867,99079,US
25-04-2020,940829,54517,100372,US
26-04-2020,968518,55810,106988,US
27-04-2020,990983,57235,111424,US
28-04-2020,1015518,59454,115936,US
29-04-2020,1043038,61960,120720,US
30-04-2020,1072667,64256,153947,US
01-05-2020,1106829,66125,164015,US
02-05-2020,1136024,67681,175382,US
03-05-2020,1161611,68777,180152,US
04-05-2020,1184086,70086,187180,US
05-05-2020,1208271,72393,189791,US
06-05-2020,1233527,74851,189910,US
07-05-2020,1261409,76770,195036,US
08-05-2020,1288587,78497,198993,US
09-05-2020,1314320,79976,212534,US
10-05-2020,1334084,80855,216169,US
11-05-2020,1352962,81868,232733,US
12-05-2020,1375152,83483,230287,US
13-05-2020,1396110,85234,243430,US
14-05-2020,1423727,87008,246414,US
15-05-2020,1449027,88669,250747,US
16-05-2020,1474128,89892,268376,US
17-05-2020,1493132,90644,272265,US
18-05-2020,1514901,91414,283178,US
19-05-2020,1535350,92965,289392,US
20-05-2020,1559157,94533,294312,US
21-05-2020,1584512,95756,298418,US
22-05-2020,1608653,97025,350135,US
23-05-2020,1630476,98146,361239,US
24-05-2020,1651289,98754,366736,US
25-05-2020,1670280,99267,379157,US
26-05-2020,1689163,99952,384902,US
27-05-2020,1707445,101461,391508,US
28-05-2020,1730260,102643,399991,US
29-05-2020,1754764,103809,406446,US
30-05-2020,1779214,104778,416461,US
31-05-2020,1799124,105364,444758,US
01-06-2020,1816479,106136,458231,US
02-06-2020,1837374,107169,463868,US
03-06-2020,1857332,108159,479258,US
04-06-2020,1878683,109168,485002,US
05-06-2020,1903907,110138,491706,US
06-06-2020,1926639,110818,500849,US
07-06-2020,1944370,111269,506367,US
08-06-2020,1961785,111774,518522,US
09-06-2020,1979912,112714,524855,US
10-06-2020,2000706,113631,533504,US
11-06-2020,2023656,114512,540292,US
12-06-2020,2048986,115334,547386,US
13-06-2020,2074542,116084,556606,US
14-06-2020,2094366,116382,561816,US
15-06-2020,2114026,116773,576334,US
16-06-2020,2137731,117612,583503,US
17-06-2020,2163290,118363,592191,US
18-06-2020,2191099,119067,599115,US
19-06-2020,2222579,119739,606715,US
20-06-2020,2255328,120349,617460,US
21-06-2020,2281767,120604,622133,US
22-06-2020,2312303,121010,640198,US
23-06-2020,2347491,121847,647548,US
24-06-2020,2382426,122604,656161,US
25-06-2020,2422299,125026,663562,US
26-06-2020,2467554,125631,670809,US
27-06-2020,2510259,126120,679308,US
28-06-2020,2549864,126361,685164,US
29-06-2020,2590668,126711,705203,US
30-06-2020,2636414,127432,720631,US
01-07-2020,2687588,128105,729994,US
02-07-2020,2742049,128803,781970,US
03-07-2020,2795361,129442,790404,US
04-07-2020,2841241,129689,894325,US
05-07-2020,2891124,129960,906763,US
06-07-2020,2936077,130285,924148,US
07-07-2020,2996098,131480,936476,US
08-07-2020,3054699,132300,953462,US
09-07-2020,3117946,133290,969111,US
10-07-2020,3185737,134101,983185,US
11-07-2020,3245925,134777,995576,US
12-07-2020,3304942,135205,1006326,US
13-07-2020,3364157,135566,1031939,US
14-07-2020,3431574,136466,1049098,US
15-07-2020,3498902,137415,1075882,US
16-07-2020,3576157,138358,1090645,US
17-07-2020,3647715,139266,1107204,US
18-07-2020,3711413,140119,1122720,US
19-07-2020,3773260,140534,1131121,US
20-07-2020,3834677,141025,1160087,US
21-07-2020,3899211,142121,1182018,US
22-07-2020,3970121,143316,1210849,US
23-07-2020,4038816,144430,1233269,US
24-07-2020,4112531,145560,1261624,US
25-07-2020,4178970,146465,1279414,US
26-07-2020,4233923,146935,1297863,US
27-07-2020,4290259,148011,1325804,US
